index,place,name,rating,review
0,Kota Lama Semarang,Gede Bagus Bayu Pentium,5.0,"It is a rising popular place in Semarang for both locals and tourists. The concept is the renewal of old building complexes from the colonial period. It has a lot of old buildings with colonial architecture. And then it's mixed with a lot of cafes, restaurants, photo spots, and places to chill. Unfortunately we went there during the day, it was quite hot and a lot of cars were going around. Our friend said during the night it would have a lot of light and very pretty. Especially on Saturday night it will have a car free night, so you can roam the area easily. I can imagine the place will be very nice if well lit during the night. Will try again to visit next time during night time."
1,Kota Lama Semarang,Rui Wang,4.0,Free public spaces to stroll around with a chic old town vibes. Many cool cafes and restaurants nearby so you can hang out with your friends while enjoying food and drinks. Better come to this place after 3 Pm to avoid the heat sunny day and also catch some photos to have evening lamps experienceVisited on Weekend Wait time 1 hr+ Reservation recommended No …More
2,Kota Lama Semarang,wiwin.m winreds,4.0,A unique and historical place and one of the iconic Semarang town to visit. Strolling along the pedestrians will bring us back to Indonesia in colonial times. lots of unique spots to snap many pics. in love with the ambiance ❤
3,Kota Lama Semarang,Akma Ikasari,5.0,"5 stars for the place. 3 stars for the experience during the day cause the weather was criminally hot. Would be nicer at night I suppose. There are many antique buildings around this place, some of them are used, some are abandoned completely. I wouldn't recommend this place to visit for people who can't handle got weather (just like myself). But for people who loves outdoor activities, definitely!"
4,Kota Lama Semarang,dian ratnasari,5.0,"Finally I can go to Semarang’s Old City!Even tho it’s still morning, but the sun shines veryyyyy brightly.But that’s okay, because I can still get great pictures there.Don't forget to bring your sunglasses, umbrella or hat there!"
5,Kota Lama Semarang,Putri A. Smit,5.0,"This is my first time coming to Semarang! and I was invited to tour this old city. I like the old city atmosphere with a variety of places to eat, snacks, and very happy to take photos here. But my time is not long, if I come back again I will play all day in this old city. I like it!Visited on Weekend Wait time 30–60 min Reservation recommended Not sure …More"
6,Kota Lama Semarang,Diantoro Deka Saputra,5.0,"The last time I came to Semarang, this Kota Lama didn’t as good as this is now. Now this place was good, good for tourism, more cleaner and good. Definitely need to visit this place when you go to Semarang. This Old Town feels like you’re in Europe in the past.Visited on Weekend Wait time No wait Reservation recommended No …More"
7,Kota Lama Semarang,Ann,4.0,"The place was quite clean and tidy, yet it was confusing—lack of street signs might be the cause. Also, I expected it to have many food vendors alongside the streets, yet there were barely any! Only fancy restaurants—that's a no go.Visited on Weekday Wait time No wait Reservation recommended No …More"
8,Kota Lama Semarang,Rinaldi Suhardiono,5.0,One of the best area of culture and culinary destination in Semarang City. You can visit it during the day or night and still be amazed of the dutch architecture and history. Recommend for sightseeing and strolling through the paved road and find a hidden restaurant or even an art gallery. Lots of selfie and instagramable spot available and for your other social medias too.
9,Kota Lama Semarang,Ali Aulia Rahman,5.0,"A very well maintained old-town in Semarang! Unlike any other old-town like Kota Tua in Jakarta or Malioboro in Yogyakarta, Kota Lama in Semarang was way way way cleaner it seems like their governor taking care of its old town very serious. There are plenty of cafes, coffee shops, and hotels too that the design was blended well with its historical theme. Very good job Semarang!"
10,Kota Lama Semarang,W NKS,3.0,"Our second visit to the place that once I loved most. Return during lunch time in a hope of stroll around admiring the old and neo classical architecture of the original site. Unfortunately things has changed, as much as we are glad to see business are thriving, there are few new ugly buildings that’s has nothing to do with the old charm of the city. Between the church and spiegel restaurant there is the ugliest building at the entire lot. Our driver told me it’s a hotel . Why even the city approved such a style to be seated there is beyond my belief."
11,Kota Lama Semarang,Imam Rustadi,5.0,"Free, no ticket needed. But you need to find official parking area from goverment. Nice historical place in Semarang. Clean and warm welcome from local people."
12,Kota Lama Semarang,Steven Candra Susanto,5.0,"honestly, i didn't get the chance to explore all of the places in this area cuz i got there pretty late at night around 8 o'clock. also when i got there some of the icononic spots were already closed even worse, several minutes after arrived and exploring the area, i was being showered by rain but this iconic place of semarang is truly an awesome destination, it really shine especially at night. the old buildings really makes you find yourself in the 19th and 20th centuries. it was clement and pleasurable to walk down all the roads bathe in all of the streets light."
13,Kota Lama Semarang,Vie Vie,5.0,"Travel through time. Thebuolding renovations are top notch, preserve the old vibe but so much cleaner.Abundant perfect instagramable spot.Unlimited choices of dining place.Visited on Weekday Wait time No wait …More"
